,miss_M_pct,miss_F_pct,diff_FminusM,mean_miss
d1_alpha_carotene_mcg,16.39,15.93,-0.46,16.16
d1_poly_fat_g,16.39,15.93,-0.46,16.16
d1_cholesterol_mg,16.39,15.93,-0.46,16.16
d1_vit_e_alpha_tocopherol_mg,16.39,15.93,-0.46,16.16
d1_added_alpha_tocopherol_mg,16.39,15.93,-0.46,16.16
d1_retinol_mcg,16.39,15.93,-0.46,16.16
d1_vit_a_rae_mcg,16.39,15.93,-0.46,16.16
d1_total_folate_mcg,16.39,15.93,-0.46,16.16
d1_theobromine_mg,16.39,15.93,-0.46,16.16
d1_food_folate_mcg,16.39,15.93,-0.46,16.16
d1_sfa_c4_g,16.39,15.93,-0.46,16.16
d1_sfa_c8_g,16.39,15.93,-0.46,16.16
d1_sfa_c10_g,16.39,15.93,-0.46,16.16
d1_sfa_c12_g,16.39,15.93,-0.46,16.16
d1_sfa_c14_g,16.39,15.93,-0.46,16.16
d1_folate_dfe_mcg,16.39,15.93,-0.46,16.16
d1_sfa_c18_g,16.39,15.93,-0.46,16.16
d1_mufa_c16_1_g,16.39,15.93,-0.46,16.16
d1_mufa_c18_1_g,16.39,15.93,-0.46,16.16
d1_mufa_c20_1_g,16.39,15.93,-0.46,16.16
d1_mufa_c22_1_g,16.39,15.93,-0.46,16.16
d1_pufa_c18_2_g,16.39,15.93,-0.46,16.16
d1_pufa_c18_3_g,16.39,15.93,-0.46,16.16
d1_pufa_c18_4_g,16.39,15.93,-0.46,16.16
d1_pufa_c20_4_g,16.39,15.93,-0.46,16.16
d1_pufa_c20_5_g,16.39,15.93,-0.46,16.16
d1_pufa_c22_5_g,16.39,15.93,-0.46,16.16
d1_pufa_c22_6_g,16.39,15.93,-0.46,16.16
d1_sfa_c6_g,16.39,15.93,-0.46,16.16
d1_sfa_c16_g,16.39,15.93,-0.46,16.16
d1_moisture_g,16.39,15.93,-0.46,16.16
d1_magnesium_mg,16.39,15.93,-0.46,16.16
d1_total_choline_mg,16.39,15.93,-0.46,16.16
d1_alcohol_g,16.39,15.93,-0.46,16.16
d1_added_vit_b12_mcg,16.39,15.93,-0.46,16.16
d1_vit_c_mg,16.39,15.93,-0.46,16.16
d1_vit_d_mcg,16.39,15.93,-0.46,16.16
d1_vit_k_mcg,16.39,15.93,-0.46,16.16
d1_calcium_mg,16.39,15.93,-0.46,16.16
d1_phosphorus_mg,16.39,15.93,-0.46,16.16
d1_vit_b12_mcg,16.39,15.93,-0.46,16.16
d1_iron_mg,16.39,15.93,-0.46,16.16
d1_copper_mg,16.39,15.93,-0.46,16.16
d1_sodium_mg,16.39,15.93,-0.46,16.16
d1_potassium_mg,16.39,15.93,-0.46,16.16
d1_selenium_mcg,16.39,15.93,-0.46,16.16
d1_caffeine_mg,16.39,15.93,-0.46,16.16
d1_zinc_mg,16.39,15.93,-0.46,16.16
hematocrit_pct,16.13,15.93,-0.2,16.03
rdw_pct,16.13,15.93,-0.2,16.03
mchc_gdl,16.13,15.93,-0.2,16.03
mch_pg,16.13,15.93,-0.2,16.03
mcv_fl,16.13,15.93,-0.2,16.03
rbc_milionul,16.13,15.93,-0.2,16.03
hemoglobin_gdl,16.13,15.93,-0.2,16.03
mpv_fl,16.13,15.93,-0.2,16.03
wbc_1000ul,16.13,15.93,-0.2,16.03
platelets_1000ul,16.13,15.93,-0.2,16.03
mc_family_asthma,16.55,14.98,-1.57,15.76
mc_blood_transfusion_ever,16.55,14.98,-1.57,15.76
hep_told_hepatitis_c,16.55,14.98,-1.57,15.76
hep_told_hepatitis_b,16.55,14.98,-1.57,15.76
mc_celiac_disease_ever,16.55,14.98,-1.57,15.76
mc_on_gluten_free_diet,16.55,14.98,-1.57,15.76
ins_uncovered_past_12mo,16.31,14.62,-1.69,15.46
ins_prescription_coverage,16.31,14.62,-1.69,15.46
d1_helper_respondent,15.43,14.98,-0.45,15.2
