,miss_M_pct,miss_F_pct,diff_FminusM,mean_miss
oral_hpv_type_83,51.69,48.96,-2.73,50.32
oral_hpv_type_54,51.69,48.96,-2.73,50.32
oral_hpv_type_53,51.69,48.96,-2.73,50.32
oral_hpv_type_52,51.69,48.96,-2.73,50.32
oral_hpv_type_51,51.69,48.96,-2.73,50.32
oral_hpv_type_45,51.69,48.96,-2.73,50.32
oral_hpv_type_82,51.69,48.96,-2.73,50.32
oral_hpv_type_73,51.69,48.96,-2.73,50.32
oral_hpv_type_39,51.69,48.96,-2.73,50.32
oral_hpv_high_risk_any,51.69,48.96,-2.73,50.32
oral_hpv_type_42,51.69,48.96,-2.73,50.32
oral_hpv_type_40,51.69,48.96,-2.73,50.32
oral_hpv_type_11,51.69,48.96,-2.73,50.32
oral_hpv_type_16,51.69,48.96,-2.73,50.32
oral_hpv_type_18,51.69,48.96,-2.73,50.32
oral_hpv_type_26,51.69,48.96,-2.73,50.32
oral_hpv_type_31,51.69,48.96,-2.73,50.32
oral_hpv_type_33,51.69,48.96,-2.73,50.32
oral_hpv_internal_control,51.69,48.96,-2.73,50.32
oral_hpv_any_type,51.69,48.96,-2.73,50.32
oral_hpv_type_70,51.69,48.96,-2.73,50.32
oral_hpv_type_61,51.69,48.96,-2.73,50.32
oral_hpv_type_69,51.69,48.96,-2.73,50.32
oral_hpv_type_68,51.69,48.96,-2.73,50.32
oral_hpv_type_67,51.69,48.96,-2.73,50.32
oral_hpv_type_66,51.69,48.96,-2.73,50.32
oral_hpv_type_62,51.69,48.96,-2.73,50.32
oral_hpv_type_35,51.69,48.96,-2.73,50.32
oral_hpv_type_58,51.69,48.96,-2.73,50.32
oral_hpv_type_56,51.69,48.96,-2.73,50.32
oral_hpv_type_55,51.69,48.96,-2.73,50.32
oral_hpv_type_59,51.69,48.96,-2.73,50.32
smoke_car_rules_others,50.35,49.07,-1.28,49.71
sea_bass_past30d,49.61,49.73,0.12,49.67
flatfish_past30d,49.61,49.73,0.12,49.67
pike_past30d,49.61,49.73,0.12,49.67
perch_past30d,49.61,49.73,0.12,49.67
mackerel_past30d,49.61,49.73,0.12,49.67
haddock_past30d,49.61,49.73,0.12,49.67
bass_past30d,49.61,49.73,0.12,49.67
cod_past30d,49.61,49.73,0.12,49.67
catfish_past30d,49.61,49.73,0.12,49.67
tuna_past30d,49.61,49.73,0.12,49.67
breaded_fish_past30d,49.61,49.73,0.12,49.67
salmon_past30d,49.61,49.73,0.12,49.67
sardines_past30d,49.61,49.73,0.12,49.67
pollock_past30d,49.61,49.73,0.12,49.67
porgy_past30d,49.61,49.73,0.12,49.67
shark_past30d,49.61,49.73,0.12,49.67
swordfish_past30d,49.61,49.73,0.12,49.67
trout_past30d,49.61,49.73,0.12,49.67
walleye_past30d,49.61,49.73,0.12,49.67
other_fish_past30d,49.61,49.73,0.12,49.67
unknown_fish_past30d,49.61,49.73,0.12,49.67
ethyl_mercury_ugl,48.63,49.63,1.0,49.13
methyl_mercury_ugl,48.63,49.63,1.0,49.13
ethyl_mercury_below_lod,48.63,49.63,1.0,49.13
inorg_mercury_below_lod,48.63,49.63,1.0,49.13
inorg_mercury_nmoll,48.63,49.63,1.0,49.13
methyl_mercury_below_lod,48.63,49.63,1.0,49.13
grip_pain_in_hands_30d,49.59,48.01,-1.58,48.8
grip_seat_adjusted,49.59,48.01,-1.58,48.8
blood_selenium_ugl,48.29,49.19,0.9,48.74
blood_cadmium_nmoll,48.29,49.19,0.9,48.74
blood_total_mercury_below_lod,48.29,49.19,0.9,48.74
blood_total_mercury_nmoll,48.29,49.19,0.9,48.74
blood_cadmium_below_lod,48.29,49.19,0.9,48.74
blood_manganese_nmoll,48.29,49.19,0.9,48.74
blood_lead_ugdl,48.29,49.19,0.9,48.74
cb_structure_claims_influence,49.79,46.38,-3.41,48.08
cb_health_claims_influence,49.79,46.38,-3.41,48.08
cb_nutrition_facts_ingredients,49.79,46.38,-3.41,48.08
vit_b12_serum_pgml,49.33,46.23,-3.1,47.78
hh_ref_spouse_education,45.13,49.79,4.66,47.46
phq9_thoughts_self_harm,48.09,45.94,-2.15,47.02
phq9_trouble_sleeping,48.07,45.92,-2.15,47.0
phq9_tired_little_energy,48.07,45.92,-2.15,47.0
phq9_poor_appetite,48.07,45.92,-2.15,47.0
phq9_feeling_bad_failure,48.09,45.92,-2.17,47.0
phq9_trouble_concentrating,48.09,45.92,-2.17,47.0
phq9_moving_slowly_or_fidgety,48.09,45.92,-2.17,47.0
phq9_depressed_down,48.05,45.92,-2.13,46.98
phq9_little_interest,48.03,45.9,-2.13,46.96
salt_freq_added_at_table,47.23,46.66,-0.57,46.94
cb_nutrition_facts_use_freq,47.71,46.11,-1.6,46.91
cb_nutrition_facts_nutrients,47.71,46.11,-1.6,46.91
alc_12_drinks_in_year,47.79,45.69,-2.1,46.74
smoke_nicotine_replacement_times,47.79,45.65,-2.14,46.72
smoke_any_tobacco_past_5d,47.21,45.24,-1.97,46.22
inc_family_savings_more_20k,47.17,44.49,-2.68,45.83
wh_trying_lose_weight_year,45.57,42.94,-2.63,44.26
smoke_nonsmoker_harm_exposure,44.55,43.85,-0.7,44.2
mc_heart_attack_ever,44.87,41.78,-3.09,43.32
mc_thyroid_problem_ever,44.87,41.78,-3.09,43.32
mc_emphysema_ever,44.87,41.78,-3.09,43.32
mc_stroke_ever,44.87,41.78,-3.09,43.32
mc_chf_ever,44.87,41.78,-3.09,43.32
mc_angina_ever,44.87,41.78,-3.09,43.32
mc_coronary_disease_ever,44.87,41.78,-3.09,43.32
mc_liver_condition_ever,44.87,41.78,-3.09,43.32
mc_gout_ever,44.87,41.78,-3.09,43.32
blood_donation_past_12mo,44.29,42.34,-1.95,43.32
mc_chronic_bronchitis_ever,44.87,41.78,-3.09,43.32
mc_arthritis_ever,44.87,41.78,-3.09,43.32
mc_copd_ever,44.87,41.78,-3.09,43.32
mc_cancer_ever,44.87,41.78,-3.09,43.32
mc_family_diabetes,44.87,41.78,-3.09,43.32
pf_difficulty_working,44.87,41.78,-3.09,43.32
pf_limited_playing_sports,44.87,41.78,-3.09,43.32
pf_difficulty_walking_quarter_mile,44.87,41.78,-3.09,43.32
pf_need_special_equipment,44.87,41.78,-3.09,43.32
pf_limited_type_work,44.87,41.78,-3.09,43.32
db_milk_reg_use_change,44.87,41.78,-3.09,43.32
marital_status,44.87,41.78,-3.09,43.32
education_20_plus,44.87,41.78,-3.09,43.32
lived_or_traveled_outside_us,44.29,42.36,-1.93,43.32
mc_family_heart_attack_before_50,44.87,41.78,-3.09,43.32
sub_h_weight_a,41.06,42.32,1.26,41.69
wh_age_most_weighed,42.49,39.23,-3.26,40.86
wh_most_ever_weighed_lb,41.75,38.34,-3.41,40.04
smoke_100_cigs_lifetime,41.71,38.19,-3.52,39.95
smoke_work_indoor_policy,41.71,38.19,-3.52,39.95
smoke_restaurant_exposure,41.71,38.19,-3.52,39.95
us_military_active_duty_ever,40.16,36.83,-3.33,38.49
diab_prediabetes_told,39.64,36.83,-2.81,38.24
mec_acasi_language,38.06,37.78,-0.28,37.92
wh_weight_year_ago_lb,38.4,35.42,-2.98,36.91
wh_weight_current_lb,38.34,35.32,-3.02,36.83
smoke_cigar_type,37.58,36.06,-1.52,36.82
smoke_cigar_past_5d,37.58,36.06,-1.52,36.82
wh_height_in,38.36,35.13,-3.23,36.75
occ_work_past_week_status,38.22,34.88,-3.34,36.55
occ_industry_code,38.22,34.88,-3.34,36.55
sleep_hours_weekday,38.22,34.84,-3.38,36.53
mc_currently_reducing_sodium,38.2,34.8,-3.4,36.5
sleep_told_sleep_disorder,38.2,34.8,-3.4,36.5
mc_currently_reducing_fat,38.2,34.8,-3.4,36.5
mc_told_control_weight_past_12mo,38.2,34.8,-3.4,36.5
bp_told_high_chol,38.2,34.8,-3.4,36.5
cb_supercenter_shopping_freq,38.2,34.8,-3.4,36.5
mc_told_increase_activity_past_12mo,38.2,34.8,-3.4,36.5
mc_told_reduce_sodium_past_12mo,38.2,34.8,-3.4,36.5
bp_time_since_chol_check_months,38.2,34.8,-3.4,36.5
mc_told_reduce_fat_past_12mo,38.2,34.8,-3.4,36.5
sleep_doctor_ever_sleep_study,38.2,34.8,-3.4,36.5
cb_food_label_influence_buying,38.2,34.8,-3.4,36.5
mc_currently_increasing_activity,38.2,34.8,-3.4,36.5
db_healthy_diet_gen,38.2,34.8,-3.4,36.5
mc_overweight_told_ever,38.2,34.8,-3.4,36.5
mc_psoriasis_ever,38.2,34.8,-3.4,36.5
wh_weight_self_perception,38.2,34.8,-3.4,36.5
wh_trying_change_weight,38.2,34.8,-3.4,36.5
cb_nutrition_facts_portion,38.2,34.8,-3.4,36.5
bp_ever_high_bp,38.2,34.8,-3.4,36.5
bp_checked_cholesterol_ever,38.2,34.8,-3.4,36.5
mc_currently_controlling_weight,38.2,34.8,-3.4,36.5
gen_health_cond,37.12,35.79,-1.33,36.46
diab_risk_told_by_doctor,37.82,35.07,-2.75,36.44
diab_risk_feels_at,37.82,35.07,-2.75,36.44
diab_blood_test_past_3yr,37.82,35.07,-2.75,36.44
calcium_total_mgdl,37.38,34.69,-2.69,36.03
iron_ugdl,37.16,34.59,-2.57,35.88
creatine_kinase_iul,37.08,34.38,-2.7,35.73
globulin_gdl,37.06,34.36,-2.7,35.71
total_protein_gdl,37.06,34.36,-2.7,35.71
triglycerides_serum_mgdl,36.94,34.38,-2.56,35.66
total_bilirubin_mgdl,36.96,34.36,-2.6,35.66
alt_ul,36.92,34.36,-2.56,35.64
ldh_ul,36.92,34.36,-2.56,35.64
uric_acid_mgdl,36.92,34.36,-2.56,35.64
cholesterol_serum_mgdl,36.92,34.36,-2.56,35.64
ast_ul,36.92,34.36,-2.56,35.64
potassium_mmoll,36.92,34.34,-2.58,35.63
alkaline_phosphatase_iul,36.92,34.34,-2.58,35.63
gamma_gt_ul,36.92,34.34,-2.58,35.63
phosphorus_mgdl,36.92,34.34,-2.58,35.63
bicarbonate_mmoll,36.92,34.32,-2.6,35.62
albumin_gdl,36.92,34.32,-2.6,35.62
glucose_serum_mgdl,36.92,34.32,-2.6,35.62
chloride_mmoll,36.92,34.32,-2.6,35.62
osmolality_mmolkg,36.92,34.32,-2.6,35.62
sodium_mmoll,36.92,34.32,-2.6,35.62
bun_mgdl,36.92,34.32,-2.6,35.62
creatinine_mgdl,36.92,34.32,-2.6,35.62
fs_child_food_security_cat,35.78,33.89,-1.89,34.84
fs_hh_child_hungry_12mo,35.76,33.89,-1.87,34.83
fs_hh_child_not_eating_12mo,35.76,33.89,-1.87,34.83
fs_hh_child_small_meals_12mo,35.76,33.89,-1.87,34.83
dis_diff_doing_errands_alone,36.4,33.14,-3.26,34.77
hba1c_pct,36.06,33.41,-2.65,34.74
pa_sedentary_minutes_day,31.28,28.44,-2.84,29.86
pa_moderate_recreation_ever,31.24,28.36,-2.88,29.8
