,r
hepatitis_b_surface_ag,0.0018101267506318555
ec_age_mom_at_birth,-0.001711775540477561
hh_ref_education,0.0017077917515888527
basophil_1000ul,0.0017012621725305483
wh_age_most_weighed,0.0014253206758730757
diab_doctor_told_diabetes,0.0014088813744054737
family_interview_language,-0.0013845859007694933
cb_money_spent_food_restaurants,0.0012904984524000705
fs_food_stamp_authorized,0.001256532638580932
scallops_past30d,0.00124122271550604
diet_day1_weight,-0.0012221795399865037
cb_money_spent_on_food_supermarket,0.0011409123127354038
family_interview_interpreter_used,-0.0011071632316403662
consumed_coffee_before_draw,0.0011028869443865197
d1_beta_carotene_mcg,0.0010908368809121219
inc_family_savings_more_20k,0.0010725179525977637
health_compared_year_ago,-0.001071040736607109
mc_emphysema_ever,0.0010570104269157882
imm_hep_b_vaccine_3doses,-0.0009692557471590097
bp_told_high_chol,0.0009352065470517192
d1_alpha_carotene_mcg,-0.0008819955024058668
mec_acasi_language,-0.0008634467702823526
inc_disability_pension,-0.0008142129491991841
tooth_28_sealant,0.0006829979129507837
inc_welfare_assistance,-0.0006516576633267284
fs_food_stamp_not_enough_bought,-0.0006297200786364011
oh_oral_cancer_exam_ever,0.0005558078188015477
hh_home_owned_or_rented,-0.000538105053905294
mc_liver_condition_ever,-0.00039690510931413996
fs_hh_child_hungry_12mo,0.00039062010799038307
fs_hh_cut_meals_12mo,0.00031649838570653227
num_adults_ge60_in_hh,-0.00028157186007272343
wh_weight_year_ago_lb,0.00025791268793581433
db_frozen_meals_past_30d,-0.00022629800056625385
tooth_08_count_code,0.00019518775919267388
d1_interview_language,3.02371529499688e-05
d1_intake_day_of_week,1.4567071436038847e-05
bp_pulse_type,1.0612618786685328e-05
