,r
triglycerides_serum_mgdl,-0.07632944687604282
phq9_little_interest,0.07575234549230243
weight_kg,-0.07536503170695091
phosphorus_mgdl,0.07375861647619714
mc_gout_ever,0.0737406775107642
total_protein_gdl,-0.0731804805079989
bmi,0.07302056007624042
drug_cocaine_heroin_meth_ever,0.07272769589863595
gamma_gt_ul,-0.07161638525892206
pa_walk_bike_transport_ever,0.07151651144789857
oh_worry_teeth_num,0.07136611580773536
phq9_trouble_concentrating,0.07086168163099676
cs_smell_grape,-0.0703321367070737
cs_problem_started_during_pregnancy,0.0703030771196025
triglycerides_mgdl,-0.06990295710458364
d1_lycopene_mcg,-0.06962768986889027
smoke_restaurant_exposure,0.06940299656250448
mc_told_control_weight_past_12mo,-0.06929267698957427
rdw_pct,0.06825057533216132
cs_smell_natural_gas,0.06813448336370953
mc_chronic_bronchitis_ever,-0.06795620876149139
urine_trimethylarsine_ugl,-0.06768099364248215
mc_anemia_treatment_past_3mo,-0.06767793947863286
hsv1_antibody,-0.06765724440931413
cs_smell_soap,-0.06560386837040603
db_milk_consumption_30d,-0.06532040184934391
mc_told_reduce_fat_past_12mo,-0.06503906413816524
cv_shortness_of_breath,-0.0645521233199024
vit_b12_serum_pgml,0.06452724855837723
phq9_difficulty_doing_work,0.06432926382408503
dis_diff_walking_climbing_stairs,-0.0640139435243309
mch_pg,-0.06380424275252117
cs_phantom_taste,0.06353486368800544
care_routine_place,-0.06312252146440513
bm_exam_status,0.06283678335062177
blood_cadmium_nmoll,0.06271162306513801
sodium_mmoll,-0.06231869735390645
grip_difficulty_reach_above_head,-0.06230402458254127
pa_moderate_work_ever,0.061910595785214205
cs_unable_detect_spoiled_food,-0.06026663958283655
cs_taste_phantom_sweet,-0.05952600797114834
ldh_ul,-0.05942749797352883
neutrophil_1000ul,0.05811254155605286
care_num_visits_year,0.056858175193184306
sagittal_abd_diameter_1,-0.056574015627019816
grip_pain_in_hands_30d,-0.05580741513841243
rx_used_alt_med_past_30d,0.05465459768024417
sx_ever_genital_warts,-0.05378890181329699
grip_months_since_hand_surgery,-0.053786849829560966
d1_sfa_c12_g,-0.05373585882112389
tooth_01_count_code,0.05330429783102915
oh_floss_days_per_week,0.0530483915041472
oral_hpv_type_16,0.052975001771003685
cs_head_injury_knocked_out,-0.05281839168890675
mc_currently_reducing_sodium,-0.05251094778646372
tooth_32_count_code,0.05233378955346196
care_hospital_overnight_past_year,-0.052250860667025056
tooth_16_count_code,0.0520008055110803
dis_diff_doing_errands_alone,-0.05168100056774484
