,cs_allergy_hay_fever,mc_asthma_ever,mc_family_asthma
cs_allergy_hay_fever,1.0,0.07754251019947897,-0.03833098314676694
mc_asthma_ever,0.07754251019947897,1.0,0.054768977248483355
mc_family_asthma,-0.03833098314676694,0.054768977248483355,1.0
