,phq9_trouble_sleeping,sleep_hours_weekday,sleep_told_sleep_disorder,sleep_doctor_ever_sleep_study
phq9_trouble_sleeping,1.0,-0.07820705084194772,-0.315744404684538,-0.10270057296182794
sleep_hours_weekday,-0.07820705084194772,1.0,0.03132874250623464,0.015968399844615688
sleep_told_sleep_disorder,-0.315744404684538,0.03132874250623464,1.0,0.25415187170675557
sleep_doctor_ever_sleep_study,-0.10270057296182794,0.015968399844615688,0.25415187170675557,1.0
