,mc_chf_ever,mc_coronary_disease_ever,mc_angina_ever,mc_heart_attack_ever,mc_stroke_ever,mc_family_heart_attack_before_50
mc_chf_ever,1.0,0.286921072916973,0.3467833980395323,0.2229831278510952,0.14197266949690857,0.05951444126748779
mc_coronary_disease_ever,0.286921072916973,1.0,0.3338252410683054,0.18903007554942217,0.059797849795711976,0.04425329745436177
mc_angina_ever,0.3467833980395323,0.3338252410683054,1.0,0.3107546753580983,0.11950990807856483,0.07089461187926577
mc_heart_attack_ever,0.2229831278510952,0.18903007554942217,0.3107546753580983,1.0,0.17307307130160335,-0.007146617369602476
mc_stroke_ever,0.14197266949690857,0.059797849795711976,0.11950990807856483,0.17307307130160335,1.0,-0.01947668739493205
mc_family_heart_attack_before_50,0.05951444126748779,0.04425329745436177,0.07089461187926577,-0.007146617369602476,-0.01947668739493205,1.0
