,diab_doctor_told_diabetes,diab_prediabetes_told,mc_thyroid_problem_ever,mc_family_diabetes
diab_doctor_told_diabetes,1.0,0.48988468628529014,0.03178197334419965,0.06871899089043906
diab_prediabetes_told,0.48988468628529014,1.0,0.04835582929326129,0.10267836597716927
mc_thyroid_problem_ever,0.03178197334419965,0.04835582929326129,1.0,0.017081213490641026
mc_family_diabetes,0.06871899089043906,0.10267836597716927,0.017081213490641026,1.0
